report Link Table Data,,,,,,,,,,,,,,,,,,,,,,,,,,<<< อย่าลืม Filter Out สีเทาออกก่อนนะ >>>,,,revise formula,,,,,,,,,,,,,,,,,,,,,,
Save Time:2025-05-22 14:32:46 User Name:tempuno,,,,,,,Shelf1-0(GigabitEthernet0/3/0),,,,,,,,,,,,,,,,,,,,,"""=MID(H7,10,20)""","Original formula AB, AE",,,,,,,,,,,,,,,,,,,,,,
"Total 1,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source SFP Actual S/N >>> Info comparing with plan,,,,,,,Sink SFP Actual S/N >>> Info comparing with plan,,,,,,
Region,AlarmSeverity,LinkName,LinkType,NetworkProtocolType,Source NE,Source IP,Source Port,Source Port IP,SourcePortAlias,Sink NE,Sink IP,Sink Port,Sink Port IP,SinkPortAlias,LinkLevel,LinkRate(bit/s),RemainingUpstreamBandwidth(Kbit/s),RemainingDownstreamBandwidth(Kbit/s),CreationTime,Remarks,UserLabel,Owner,Weight(0-1000),Delay Time(μs),,Source NE,Source Port,So SFP-Type,Sink NE,Sink Port,Sink SFP-Type,,SFP Check,,Source-Concatatinate,Sink-Concatcatinate,,Source S/N Actual,BOQ Ph,Site Assigned,NE Assigned,Port Assigned,Match Site,Match Port,Sink S/N Actual,BOQ Ph,Site Assigned,NE Assigned,Port Assigned,Match Site,Match Port
C3,Normal,C3_SS_XCA_NE8K_1-Shelf1-0(GigabitEthernet0/5/0)-New_C3_EO_SPC_NE08_1-Shelf1-0(GigabitEthernet0/1/0),L2 Link,--,C3_SS_XCA_NE8K_1,10.10.54.41,Shelf1-0(GigabitEthernet0/5/0),10.10.192.134,C3_SS_XCA_NE8K_1 10GE0/5/0-to-C3_EO_SPC_NE08_1 10GE0/1/0,New_C3_EO_SPC_NE08_1,10.10.54.19,Shelf1-0(GigabitEthernet0/1/0),10.10.192.133,C3_ACN1_L026=C3_EO_SPC_NE08_1 10GE0/1/0-to-C3_SS_SMG_NE08_1 10GE0/1/0,10GE,10000000000,1000000,1000000,2025-03-07 15:09:12,,,,50,0,,สฟฟ.สามชุก,GigabitEthernet0/5/0,10GBase-ZX,กฟส.ศรีประจันต์,GigabitEthernet0/1/0,10GBase-ZX,,Match,1,C3_SS_XCA_NE8K_1-GigabitEthernet0/5/0,New_C3_EO_SPC_NE08_1-GigabitEthernet0/1/0,,VAFE3H02656,Ph#8,สฟฟ.สามชุก,NE8K-01,GigabitEthernet0/5/0,Match,Match,BP195300550862,Ph#2,กฟส.ศรีประจันต์,NE08_1,GigabitEthernet0/1/0,Match,Match
C3,Critical,C3_SS_XCA_NE8K_1-Shelf1-0(GigabitEthernet0/6/0)-New_C3_EO_SMG_NE08_1-Shelf1-0(GigabitEthernet0/1/0),L2 Link,--,C3_SS_XCA_NE8K_1,10.10.54.41,Shelf1-0(GigabitEthernet0/6/0),10.10.193.9,C3_SS_XCA_NE8K_1 10GE0/6/0-to-New_C3_EO_SMG_NE08_1 10GE0/1/0,New_C3_EO_SMG_NE08_1,10.10.54.21,Shelf1-0(GigabitEthernet0/1/0),10.10.193.10,C3_ACN1_L026=C3_SS_SMG_NE08_1 10GE0/1/0-to-C3_SS_XCA_NE8K_1 10GE0/6/0,10GE,10000000000,1000000,1000000,2025-03-07 15:08:29,,,,50,0,,สฟฟ.สามชุก,GigabitEthernet0/6/0,10GBase-ZX,กฟส.สามชุก,GigabitEthernet0/1/0,10GBase-ZX,,Match,1,C3_SS_XCA_NE8K_1-GigabitEthernet0/6/0,New_C3_EO_SMG_NE08_1-GigabitEthernet0/1/0,,VAFE3H02936,Ph#8,สฟฟ.สามชุก,NE8K-01,GigabitEthernet0/6/0,Match,Match,BP195300550868,Ph#2,กฟส.สามชุก,NE08_1,GigabitEthernet0/1/0,Match,Match
C3,Normal,C3_SS_SMK_NE8K_2-Shelf1-1(GigabitEthernet0/6/1)-C3_SS_SMO_NE8K_1-Shelf1-1(GigabitEthernet0/6/1),L2 Link,--,C3_SS_SMK_NE8K_2,10.10.54.42,Shelf1-1(GigabitEthernet0/6/1),10.10.199.198,C3_SS_SMK_NE8K_2 10GE0/6/1-to-C3_SS_SMO_NE8K_1 10GE0/6/1,C3_SS_SMO_NE8K_1,10.10.54.43,Shelf1-1(GigabitEthernet0/6/1),10.10.199.197,C3_SS_SMO_NE8K_1 10GE0/6/1-to-C3_SS_SMK_NE8K_2 10GE0/6/1,10GE,10000000000,1000000,1000000,2025-02-28 14:06:34,,,,50,0,,สฟฟ.สมุทรสาคร 11,GigabitEthernet0/6/1,10GBase-ER,สฟฟ.สมุทรสาคร 15,GigabitEthernet0/6/1,10GBase-ER,,Match,1,C3_SS_SMK_NE8K_2-GigabitEthernet0/6/1,C3_SS_SMO_NE8K_1-GigabitEthernet0/6/1,,VB6E4H2592Y,Ph#8,สฟฟ.สมุทรสาคร 11,NE8K-01,GigabitEthernet0/6/0,Match,Not Match,VB6E4H2932Y,Ph#8,สฟฟ.สมุทรสาคร 15,NE8K-01,GigabitEthernet0/6/0,Match,Not Match
C3,Normal,C3_SS_SMK_NE8K_2-Shelf1-0(GigabitEthernet0/6/0)-C3_SS_SMO_NE8K_1-Shelf1-1(GigabitEthernet0/5/1),L2 Link,--,C3_SS_SMK_NE8K_2,10.10.54.42,Shelf1-0(GigabitEthernet0/6/0),10.10.199.194,C3_SS_SMK_NE8K_2 10GE0/6/0-to-C3_SS_SMO_NE8K_1 10GE0/5/1,C3_SS_SMO_NE8K_1,10.10.54.43,Shelf1-1(GigabitEthernet0/5/1),10.10.199.193,C3_SS_SMO_NE8K_1 10GE0/5/1-to-C3_SS_SMK_NE8K_2 10GE0/6/0,10GE,10000000000,1000000,1000000,2025-02-28 14:06:34,,,,50,0,,สฟฟ.สมุทรสาคร 11,GigabitEthernet0/6/0,10GBase-ER,สฟฟ.สมุทรสาคร 15,GigabitEthernet0/5/1,10GBase-ER,,Match,1,C3_SS_SMK_NE8K_2-GigabitEthernet0/6/0,C3_SS_SMO_NE8K_1-GigabitEthernet0/5/1,,VB6E4H2141Y,Ph#8,สฟฟ.สมุทรสาคร 11,NE8K-01,GigabitEthernet0/6/1,Match,Not Match,VB6E4H2109Y,Ph#8,สฟฟ.สมุทรสาคร 15,NE8K-01,GigabitEthernet0/5/0,Match,Not Match
C3,Normal,C3_SS_SMK_NE8K_2-Shelf1-0(GigabitEthernet0/5/0)-C3_EO_KGL_NE8K_1_Ph.4-Shelf1-1(GigabitEthernet0/3/1),L2 Link,--,C3_SS_SMK_NE8K_2,10.10.54.42,Shelf1-0(GigabitEthernet0/5/0),10.10.199.177,C3_SS_SMK_NE8K_2 10GE0/5/0-to-C3_EO_KGL_NE8K_1 10GE0/3/1,C3_EO_KGL_NE8K_1_Ph.4,10.10.55.69,Shelf1-1(GigabitEthernet0/3/1),10.10.199.178,C3_EO_KGL_NE8K_1 10GE0/3/1-to-C3_SS_SMK_NE8K_2 10GE0/5/0,10GE,10000000000,1000000,1000000,2025-02-28 14:06:34,,,,50,0,,สฟฟ.สมุทรสาคร 11,GigabitEthernet0/5/0,10GBase-ER,กฟย.ต.กาหลง,GigabitEthernet0/3/1,10GBase-ER,,Match,1,C3_SS_SMK_NE8K_2-GigabitEthernet0/5/0,C3_EO_KGL_NE8K_1_Ph.4-GigabitEthernet0/3/1,,VB6E4H1731Y,Ph#8,สฟฟ.สมุทรสาคร 11,NE8K-01,GigabitEthernet0/5/0,Match,Match,VB6E4H3406Y,Ph#8,กฟย.กาหลง,NE8K-01,GigabitEthernet0/3/1,Not Match,Match
C3,Normal,C3_SS_SMO_NE8K_1-Shelf1-0(GigabitEthernet0/5/0)-C3_EO_SMA_NE8K_1_PH.4-Shelf1-0(GigabitEthernet0/4/0),L2 Link,--,C3_SS_SMO_NE8K_1,10.10.54.43,Shelf1-0(GigabitEthernet0/5/0),10.10.199.189,C3_SS_SMO_NE8K_1 10GE0/5/0-to-C3_EO_SMA_NE8K_1 10GE0/4/0,C3_EO_SMA_NE8K_1_PH.4,10.10.55.71,Shelf1-0(GigabitEthernet0/4/0),10.10.199.190,C3_ACN3_L063=C3_EO_SMA_NE8K_1 10GE0/4/0-to-C3_SS_SMO_NE8K_1 10GE0/5/0,10GE,10000000000,1000000,1000000,2025-02-28 13:06:03,,,,50,0,,สฟฟ.สมุทรสาคร 15,GigabitEthernet0/5/0,10GBase-ER,กฟจ.สมุทรสาคร,GigabitEthernet0/4/0,10GBase-ER,,Match,1,C3_SS_SMO_NE8K_1-GigabitEthernet0/5/0,C3_EO_SMA_NE8K_1_PH.4-GigabitEthernet0/4/0,,VB6E4H2948Y,Ph#8,สฟฟ.สมุทรสาคร 15,NE8K-01,GigabitEthernet0/6/1,Match,Not Match,EB201900342648,Ph#4,สฟฟ.ท่าทราย 2,NE8K_1,GigabitEthernet0/3/0,Not Match,Not Match
C3,Normal,C3_SS_SMO_NE8K_1-Shelf1-0(GigabitEthernet0/6/0)-C3_EO_KGL_NE8K_1_Ph.4-Shelf1-0(GigabitEthernet0/4/0),L2 Link,--,C3_SS_SMO_NE8K_1,10.10.54.43,Shelf1-0(GigabitEthernet0/6/0),10.10.197.38,C3_SS_SMO_NE8K_1 10GE0/5/0-to-C3_EO_KGL_NE8K_1 10GE0/4/0,C3_EO_KGL_NE8K_1_Ph.4,10.10.55.69,Shelf1-0(GigabitEthernet0/4/0),10.10.197.37,C3_ACN3_L064=C3_EO_KGL_NE8K_1 10GE0/4/0-to-C3_SS_SMO_NE8K_1 10GE0/6/0,10GE,10000000000,1000000,1000000,2025-02-28 13:06:03,,,,50,0,,สฟฟ.สมุทรสาคร 15,GigabitEthernet0/6/0,10GBase-ER,กฟย.ต.กาหลง,GigabitEthernet0/4/0,10GBase-ER,,Match,1,C3_SS_SMO_NE8K_1-GigabitEthernet0/6/0,C3_EO_KGL_NE8K_1_Ph.4-GigabitEthernet0/4/0,,VB6E4H2437Y,Ph#8,สฟฟ.สมุทรสาคร 15,NE8K-01,GigabitEthernet0/5/1,Match,Not Match,EB202100052028,Ph#4,กฟย.ต.กาหลง,NE8K_1,GigabitEthernet0/4/0,Match,Match
C1,Normal,C1_CCPAY_NE8K_1-Shelf1-0(GigabitEthernet0/3/0)-C1_WH_TRE_NE8K_1-Shelf1-1(GigabitEthernet0/3/1),L2 Link,--,C1_CCPAY_NE8K_1,10.10.50.106,Shelf1-0(GigabitEthernet0/3/0),10.10.167.53,C1_CCPAY_NE8K_1 10GE0/3/0-to-C1_WH_TAR_NE8K_1 10GE0/3/1,C1_WH_TRE_NE8K_1,10.10.50.236,Shelf1-1(GigabitEthernet0/3/1),10.10.167.54,C1_WH_TAR_NE8K_1 10GE0/3/1-to-C1_CCPAY_NE8K_1 10GE0/3/0,10GE,10000000000,1000000,1000000,2025-02-21 12:03:09,,,,50,0,,โรงหล่อคอนกรีตอยุธยา,GigabitEthernet0/3/0,10GBase-ER,คลังพัสดุท่าเรือ,GigabitEthernet0/3/1,10GBase-ER,,Match,1,C1_CCPAY_NE8K_1-GigabitEthernet0/3/0,C1_WH_TRE_NE8K_1-GigabitEthernet0/3/1,,VB6E4H3494Y,Ph#8,โรงหล่อคอนกรีตอยุธยา,NE8K-01,GigabitEthernet0/3/0,Match,Match,VB6E4H3296Y,Ph#8,คลังพัสดุท่าเรือ,NE8K-01,GigabitEthernet0/3/1,Match,Match
C1,Normal,C1_SS_SRG_NE08_1-Shelf1-0(GigabitEthernet0/1/0)-C1_EO_SBI_NE08_2-Shelf1-1(GigabitEthernet0/2/1),L2 Link,--,C1_SS_SRG_NE08_1,10.10.50.107,Shelf1-0(GigabitEthernet0/1/0),10.10.167.57,C1_SS_SRG_NE08_1 10GE0/1/0-to-C1_EO_SBI_NE08_2 10GE0/2/1,C1_EO_SBI_NE08_2,10.10.50.237,Shelf1-1(GigabitEthernet0/2/1),10.10.167.58,C1_EO_SBI_NE08_2 10GE0/2/1-to-C1_SS_SRG_NE08_1 10GE0/1/0,10GE,10000000000,1000000,999000,2025-02-20 12:26:42,,,,50,0,,สฟฟ.สระบุรี 7,GigabitEthernet0/1/0,10GBase-ER,กฟจ.สระบุรี,GigabitEthernet0/2/1,10GBase-ER,,Match,1,C1_SS_SRG_NE08_1-GigabitEthernet0/1/0,C1_EO_SBI_NE08_2-GigabitEthernet0/2/1,,VB6E4H3497Y,Ph#8,สฟฟ.สระบุรี 7,NE08_1,GigabitEthernet0/3/0,Match,Not Match,EB202100050247,Ph#4,กฟจ.สระบุรี,NE8K_1,GigabitEthernet0/5/3,Match,Not Match
C1,Critical,C1_SS_BSA_NE40(Shelf1-1(GigabitEthernet2/0/1))---DRC#2,Dummy Link,--,C1_SS_BSA_NE40,10.10.0.170,Shelf1-1(GigabitEthernet2/0/1),10.10.29.65,C1_SS_BSA_NE40_10GE2/0/1-to-C1_EO_RST_NE40_10GE2/0/3,Cisco_DRC#2,10.10.0.18,,,,10GE,10000000000,1000000,--,2025-01-29 14:47:55,,,tempuno,50,--,,สฟฟ.บางไทร,GigabitEthernet2/0/1,10GBase-SR,Cisco_DRC#2,,#N/A,,#N/A,1,C1_SS_BSA_NE40-GigabitEthernet2/0/1,Cisco_DRC#2-,,N33AAQ69325,Ph#5,สฟฟ.บางไทร,NE40_1A,GigabitEthernet3/0/1,Match,Not Match,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
