,Data Updated:,"May 23, 2025",,,,,,,,,,,,,,
,No,Site Name (ABR),Node Name (NCE),Site Name (Thai),Site Name (SOR),Site Name (Confirmed),Management IP (Loopback IP),NE Type,Access Network,Region,ABR,,,,,
,27,C3_SS_BAP2_NE40,C3_SS_BPB_NE40,สฟฟ.บ้านโป่ง 2,สฟฟ.บ้านโป่ง 2,สฟฟ.บ้านโป่ง 2,10.10.0.50,NE40E-X3(V8),"PE,11,12,15",C3,BPB,,,,,
,28,C3_SS_KTA_NE40,C3_SS_KTA_NE40,สฟฟ.กระทุ่มแบน 1,สฟฟ.กระทุ่มแบน 1,สฟฟ.กระทุ่มแบน 1,10.10.0.51,NE40E-X3(V8),"PE,13,21",C3,KTA,,,,,
,29,C3_WH_KCI_NE40,C3_WH_KCI_NE40,คลังพัสดุกาญจนบุรี,คลังพัสดุกาญจนบุรี,คลังพัสดุกาญจนบุรี,10.10.0.52,NE40E-X3(V8),"PE,11,15",C3,KCI,,,,,
,30,C2_SS_CBA_NE040,New_C2_CBA_NE040_SS,สฟฟ.ชลบุรี 1,สฟฟ.ชลบุรี 1,สฟฟ.ชลบุรี 1,10.10.0.53,NE40E-X3(V8),"PE,7,14",C2,CBA,,,,,
,31,C2_SS_KPO_NE40,New_C2_SS_KPO_NE40,สฟฟ.เกาะโพธิ์,สฟฟ.เกาะโพธิ์,สฟฟ.เกาะโพธิ์,10.10.0.54,NE40E-X3(V8),"PE,7,14",C2,KPO,,,,,
,32,C1_E0_PTN_NE40,C1_EO_PTN_NE40,กฟจ.ปทุมธานี,กฟจ.ปทุมธานี,กฟจ.ปทุมธานี,10.10.0.55,NE40E-X3A(V8),"PE,1",C1,PTN,,,,,
,33,C1_E0_BHK_NE40,C1_EO_BHK_NE40,กฟฟ.บ้านหินกอง,กฟฟ.บ้านหินกอง,กฟฟ.บ้านหินกอง,10.10.0.56,NE40E-X3A(V8),"PE,4",C1,BHK,,,,,
,34,C1_ADDC_A9910_R1,C1_ADDC_A9910_R1,ศจฟ.กฟก.1 (อยุธยา),ศจฟ. กฟก.1 (อยุธยา) ,ศจฟ.กฟก.1,10.10.0.57,3rd-Party ICMP Device,"PE,1,2,3,4",C1,AYY,,,,,
,35,C1_ADDC_A9910_R2,C1_ADDC_A9910_R2,ศจฟ.กฟก.1 (อยุธยา),ศจฟ. กฟก.1 (อยุธยา) ,ศจฟ.กฟก.1,10.10.0.58,3rd-Party ICMP Device,"PE,1,2,3,4",C1,AYY,,,,,
,36,C2_ADDC_CBR_A9K_R1,C2_ADDC_CBR_A9910_R1,ศจฟ.กฟก.2 (ชลบุรี),ศจฟ.กฟก.2 ,ศจฟ.กฟก.2,10.10.0.59,3rd-Party ICMP Device,"PE,7,8",C2,CBR,,,,,
,37,C2_ADDC_CBR_A9K_R2,C2_ADDC_CBR_A9910_R2,ศจฟ.กฟก.2 (ชลบุรี),ศจฟ.กฟก.2 ,ศจฟ.กฟก.2,10.10.0.60,3rd-Party ICMP Device,"PE,7,8",C2,CBR,,,,,
,38,C3_ADDC_A9910_R1,C3_ADDC_A9910_R1,ศจฟ. กฟก.3 (นครปฐม) (EDC. C.3 (Nakhon Pathom)),ศจฟ. กฟก.3 ,ศจฟ.กฟก.3,10.10.0.61,3rd-Party ICMP Device,"PE,12,13",C3,NPM,,,,,
,39,C3_ADDC_A9910_R2,C3_ADDC_A9910_R2,ศจฟ. กฟก.3 (นครปฐม) (EDC. C.3 (Nakhon Pathom)),ศจฟ. กฟก.3 ,ศจฟ.กฟก.3,10.10.0.62,3rd-Party ICMP Device,"PE,12,13",C3,NPM,,,,,
,40,C1_ADDC_EO_AYY_NE08_1,C1_ADDC_EO_AYY_NE08_1,ศจฟ.กฟก.1 (อยุธยา)(Ayutthaya),ศจฟ.กฟก.1,ศจฟ.กฟก.1,10.10.50.1,NE08E-S6,1,C1,AYY,,,,,
,41,C1_SS_SKK_NE08_1,C1_SS_SKK_NE08_1,กฟส.สามโคก,กฟส.สามโคก,กฟส.สามโคก,10.10.50.10,NE08E-S6,1,C1,SKK,,,,,
,42,C1_SS_TMS_NE08_1,C1_SS_TMS_NE08_1,สฟฟ.ธรรมศาสตร์,สฟฟ.ธรรมศาสตร์,สฟฟ.ธรรมศาสตร์,10.10.50.11,NE08E-S6,1,C1,TMS,,,,,
,43,C1_HQ_EO_NE08_1,HQ_EO_NE08_1,สำนักงานใหญ่ กฟภ. (อสก.3),สำนักงานใหญ่ กฟภ. (อสก.3),สำนักงานใหญ่ กฟภ. (อสก.3),10.10.50.12,NE08E-S6,1,HQ,HQ,,,,,
,44,C1_ADDC_EO_AYA_NE8K_1,C1_ADDC_EO_AYY_NE8K_3,ศจฟ.กฟก.1 (อยุธยา),ศจฟ. กฟก.1 (อยุธยา) ,ศจฟ.กฟก.1,10.10.50.128,NetEngine 8000 M6,3,C1,AYY,,,,,
,45,C1_SS_SNA_NE08_2,C1_SS_SNA_NE08_2,สฟฟ.เสนา(ES.Sena),สฟฟ.เสนา,สฟฟ.เสนา,10.10.50.129,NE08E-S6,3,C1,SNA,,,,,
,46,C1_SS_BMA_NE08_1,C1_SS_BMA_NE08_1,สฟฟ.บ้านใหม่(ES.Ban Mai),สฟฟ.บ้านใหม่,สฟฟ.บ้านใหม่,10.10.50.13,NE08E-S6,1,C1,BMA,,,,,
,47,C1_EO_PHI_NE08_1,C1_EO_PHI_NE08_1,กฟอ.ผักไห่(DE.Phak Hai),กฟอ.ผักไห่,กฟอ.ผักไห่,10.10.50.130,NE08E-S6,3,C1,PHI,,,,,
,48,C1_SS_ATB_NE8K_1,New_C1_SS_ATB_NE8K_1,สฟฟ.อ่างทอง 2,สฟฟ.อ่างทอง 2,สฟฟ.อ่างทอง 2,10.10.50.131,NetEngine 8000 M6,3,C1,ATB,,,,,
,49,C1_SS_ATA_NE8K_1,New_C1_SS_ATA_NE8K_1,สฟฟ.อ่างทอง 1,สฟฟ.อ่างทอง 1,สฟฟ.อ่างทอง 1,10.10.50.132,NetEngine 8000 M6,3,C1,ATA,,,,,
,50,C1_SS_BPI_NE08_1,C1_SS_BPI_NE08_1,สฟฟ.บางปะหัน(ES.Bang Pa Han),สฟฟ.บางปะหัน,สฟฟ.บางปะหัน,10.10.50.133,NE08E-S6,3,C1,BPI,,,,,
,51,C1_EO_BGH_NE08_1,C1_EO_BGH_NE08_1,กฟส.บางปะหัน(BE.Bang Pa Han),กฟส.บางปะหัน,กฟส.บางปะหัน,10.10.50.134,NE08E-S6,3,C1,BGH,,,,,
,52,C1_SS_DOP_NE08_1,New_C1_SS_DOP_NE08_1,สฟฟ.ดอนพุด,สฟฟ.ดอนพุด,สฟฟ.ดอนพุด,10.10.50.135,NE08E-S6E,3,C1,DOP,,,,,
,53,C1_E0_ATA_NE08_1,New_C1_EO_ATG_NE08_1,กฟจ.อ่างทอง,กฟจ.อ่างทอง,กฟจ.อ่างทอง,10.10.50.136,NE08E-S6E,3,C1,ATG,,,,,
,54,C1_E0_PMK_NE08_1,New_C1_EO_PMK_NE08_1,กฟอ.ป่าโมก,กฟส.ป่าโมก,กฟส.ป่าโมก,10.10.50.137,NE08E-S6E,3,C1,PMK,,,,,
,55,C1_E0_WCN_NE08_1,New_C1_EO_WCN_NE08_1,กฟส.วิเศษชัยชาญ,กฟส.วิเศษชัยชาญ,กฟส.วิเศษชัยชาญ,10.10.50.138,NE08E-S6E,3,C1,WCN,,,,,
,56,C1_E0_PTG_NE08_1,C1_EO_PTG_NE8K_1,กฟส.โพธิ์ทอง,กฟส.โพธิ์ทอง,กฟส.โพธิ์ทอง,10.10.50.139,NetEngine 8000 M6,3,C1,PTG,,,,,
,57,C1_SS_BPN_NE08_1,C1_SS_BPN_NE08_1,สฟฟ.บางพูน(ES.Bang Phun),สฟฟ.บางพูน,สฟฟ.บางพูน,10.10.50.14,NE08E-S6,1,C1,BPN,,,,,
,58,C1_EO_BSI_NE8K_1,New_C1_EO_BSI_NE8K_1,กฟย.บางซ้าย,กฟย.บางซ้าย,กฟย.บางซ้าย,10.10.50.140,NetEngine 8000 M6,3,C1,BSI,,,,,
,59,C1_EO_BBN_NE8K_1,C1_EO_BBN_NE8K_1,กฟย.บางบาล,กฟย.บางบาล,กฟย.บางบาล,10.10.50.141,NetEngine 8000 M6,3,C1,BBN,,,,,
,60,C1_SS_AYC_NE8K_1,New_C1_SS_AYC_NE8K_1,สฟฟ.อยุธยา 3,สฟฟ.อยุธยา 3,สฟฟ.อยุธยา 3,10.10.50.142,NetEngine 8000 M6,3,C1,AYC,,,,,
,61,C1_SS_AYB_NE8K_1,C1_SS_AYB_NE8K_1,สฟฟ.อยุธยา 2,สฟฟ.อยุธยา 2,สฟฟ.อยุธยา 2,10.10.50.143,NE08E-S6E,3,C1,AYB,,,,,
,62,C1_EO_SMK_NE8K_1,New_C1_EO_SMK_NE8K_1,กฟย.สามโก้,กฟย.สามโก้,กฟย.สามโก้,10.10.50.144,NetEngine 8000 M6,3,C1,SMK,,,,,
,63,C1_EO_SWH_NE8K_1,New_C1_EO_SWH_NE8K_1,กฟย.แสวงหา,กฟย.แสวงหา,กฟย.แสวงหา,10.10.50.145,NetEngine 8000 M6,3,C1,SWH,,,,,
,64,C1_EO_CYO_NE8K_1,New_C1_EO_CYO_NE8K_1,กฟย.ไชโย,กฟย.ไชโย,กฟย.ไชโย,10.10.50.146,NetEngine 8000 M6,3,C1,CYO,,,,,
,65,C1_EO_BPK_NE8K_1,C1_EO_BPK_NE8K_1,กฟย.บ้านแพรก,กฟย.บ้านแพรก,กฟย.บ้านแพรก,10.10.50.147,NetEngine 8000 M6,3,C1,BPK,,,,,
,66,C1_EO_DOP_NE8K_1,New_C1_EO_DPT_NE8K_1,กฟย.ดอนพุด,กฟย.ดอนพุด,กฟย.ดอนพุด,10.10.50.148,NetEngine 8000 M6,3,C1,DPT,,,,,
,67,C1_EO_MHR_NE8K_1,New_C1_EO_MHR_NE8K_1,กฟย.มหาราช,กฟย.มหาราช,กฟย.มหาราช,10.10.50.149,NetEngine 8000 M6,3,C1,MHR,,,,,
,68,C1_SS_BDA_NE08_1,C1_SS_BDA_NE08_1,สฟฟ.บางกระดี(ES.Bang Kadi),สฟฟ.บางกระดี,สฟฟ.บางกระดี,10.10.50.15,NE08E-S6,1,C1,BDA,,,,,
,69,C1_WH_ATB_NE8K_1,C1_WH_ATG_NE8K_1,คลังพัสดุอ่างทอง,คลังพัสดุอ่างทอง,คลังพัสดุอ่างทอง,10.10.50.150,NetEngine 8000 M6,3,C1,ATG,,,,,
,70,C1_ADDC_EO_AYY_NE08_5,C1_ADDC_EO_AYY_NE08_5,ศจฟ.กฟก.1 (อยุธยา),ศจฟ. กฟก.1 (อยุธยา) ,ศจฟ.กฟก.1,10.10.50.151,NE08E-S6,3,C1,AYY,,,,,
,71,C1_SS_ATC_NE08_1,C1_SS_ATC_NE08_1,สฟฟ.อ่างทอง 3,สฟฟ.อ่างทอง 3,สฟฟ.อ่างทอง 3,10.10.50.152,NE08E-S6E,3,C1,ATC,,,,,
