SubCard Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
Save Time: 2025-05-15 12:23:16 User Name: tempuno,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total records: 3410,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE Name,NE Type (MPU Type),Subboard Full Name,Subboard Name,Subboard Type,Subrack ID,Slot Number,Subslot Number,Hardware Version,Software Version,SN(Bar Code),Subboard Status,SubCard Alias,Description,Remarks,PN(BOM Code),Manufactured On,Model,Rev (Issue Number),Custom Label,resId,nativeId,,Masterplan Assigned,Boq. Ph.,Actual Site name,Match,Region
C2_EO_BLM_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV A,,030PNX10H1000038,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-01-22,,03030PNX00,,4bfa7e30-ac06-11ea-9e76-24a52ca945ea,"NE=3145933,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,กฟภ.เมืองพัทยา,#N/A,C2
C2_SS_BBA_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV A,,030PNX10H1000033,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-01-22,,03030PNX00,,4bfa7e31-ac06-11ea-9e76-24a52ca945ea,"NE=3145771,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.บ้านบึง 1,#N/A,C2
C2_SS_CTA_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e32-ac06-11ea-9e76-24a52ca945ea,"NE=3145935,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.จันทบุรี,#N/A,C2
C2_SS_KAA_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e33-ac06-11ea-9e76-24a52ca945ea,"NE=3145766,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.แกลง 1,#N/A,C2
C1_SS_SNA_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bfa7e34-ac06-11ea-9e76-24a52ca945ea,"NE=3145762,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.เสนา,#N/A,C1
C1_SS_SNA_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV B,,030PNX10H5000011,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa7e36-ac06-11ea-9e76-24a52ca945ea,"NE=3145762,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.เสนา,#N/A,C1
C3_SS_BEA_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV B,,030PNX10H6000004,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-06-13,,03030PNX00,,4bfa7e37-ac06-11ea-9e76-24a52ca945ea,"NE=3145772,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.บางเลน,#N/A,C3
C1_SS_NSI_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV A,,030PNX10H1000069,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-01-22,,03030PNX00,,4bfa7e3a-ac06-11ea-9e76-24a52ca945ea,"NE=3145770,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.นนทรี,#N/A,C1
C3_SS_BPB_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e3b-ac06-11ea-9e76-24a52ca945ea,"NE=3145774,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.บ้านโป่ง 2,#N/A,C3
C1_SS_OKA_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e3e-ac06-11ea-9e76-24a52ca945ea,"NE=3145760,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.องครักษ์,#N/A,C1
C2_SS_CCA_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e3f-ac06-11ea-9e76-24a52ca945ea,"NE=3145767,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.ฉะเชิงเทรา,#N/A,C2
C1_SS_NSI_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bfa7e40-ac06-11ea-9e76-24a52ca945ea,"NE=3145770,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.นนทรี,#N/A,C1
C1_SS_SNA_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV B,,030PNX10H5000020,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa7e42-ac06-11ea-9e76-24a52ca945ea,"NE=3145762,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.เสนา,#N/A,C1
C2_EO_BLM_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e43-ac06-11ea-9e76-24a52ca945ea,"NE=3145933,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,กฟภ.เมืองพัทยา,#N/A,C2
C1_SS_WYA_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV B,,030PNX10H5000006,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa7e44-ac06-11ea-9e76-24a52ca945ea,"NE=3145763,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.วังน้ำเย็น,#N/A,C1
C2_SS_CTA_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV B,,030PNX10H5000002,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa7e45-ac06-11ea-9e76-24a52ca945ea,"NE=3145935,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.จันทบุรี,#N/A,C2
C1_SS_NSI_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e46-ac06-11ea-9e76-24a52ca945ea,"NE=3145770,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.นนทรี,#N/A,C1
C3_SS_BPB_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV B,,030PNX10H6000012,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-06-13,,03030PNX00,,4bfa7e47-ac06-11ea-9e76-24a52ca945ea,"NE=3145774,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.บ้านโป่ง 2,#N/A,C3
C2_SS_RAC_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e48-ac06-11ea-9e76-24a52ca945ea,"NE=3145768,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.ระยอง 3,#N/A,C2
C2_SS_CCA_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bfa7e49-ac06-11ea-9e76-24a52ca945ea,"NE=3145767,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.ฉะเชิงเทรา,#N/A,C2
C1_SS_OKA_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bfa7e4a-ac06-11ea-9e76-24a52ca945ea,"NE=3145760,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.องครักษ์,#N/A,C1
C2_SS_RAC_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bfa7e4b-ac06-11ea-9e76-24a52ca945ea,"NE=3145768,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.ระยอง 3,#N/A,C2
C2_SS_BBA_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bfa7e4c-ac06-11ea-9e76-24a52ca945ea,"NE=3145771,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.บ้านบึง 1,#N/A,C2
C1_EO_SBI_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV B,,030PNX10H5000019,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa7e4d-ac06-11ea-9e76-24a52ca945ea,"NE=3145764,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,กฟจ.สระบุรี,#N/A,C1
C3_SS_BPB_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV B,,030PNX10H6000011,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-06-13,,03030PNX00,,4bfa7e4e-ac06-11ea-9e76-24a52ca945ea,"NE=3145774,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.บ้านโป่ง 2,#N/A,C3
C3_SS_BEA_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e4f-ac06-11ea-9e76-24a52ca945ea,"NE=3145772,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.บางเลน,#N/A,C3
C1_SS_WYA_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV B,,030PNX10H5000005,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa7e50-ac06-11ea-9e76-24a52ca945ea,"NE=3145763,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.วังน้ำเย็น,#N/A,C1
C2_EO_BLM_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bfa7e51-ac06-11ea-9e76-24a52ca945ea,"NE=3145933,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,กฟภ.เมืองพัทยา,#N/A,C2
C3_SS_KTA_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV B,,030PNX10H5000001,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa7e52-ac06-11ea-9e76-24a52ca945ea,"NE=3145775,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.กระทุ่มแบน 1,#N/A,C3
C2_SS_RAC_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV B,,030PNX10H5000012,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa7e53-ac06-11ea-9e76-24a52ca945ea,"NE=3145768,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.ระยอง 3,#N/A,C2
C1_SS_OKA_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV B,,030PNX10H5000016,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa7e54-ac06-11ea-9e76-24a52ca945ea,"NE=3145760,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.องครักษ์,#N/A,C1
C3_SS_KTA_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV B,,030PNX10H5000004,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa7e56-ac06-11ea-9e76-24a52ca945ea,"NE=3145775,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.กระทุ่มแบน 1,#N/A,C3
C1_SS_SNA_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e57-ac06-11ea-9e76-24a52ca945ea,"NE=3145762,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.เสนา,#N/A,C1
C3_SS_BEA_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bfa7e58-ac06-11ea-9e76-24a52ca945ea,"NE=3145772,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.บางเลน,#N/A,C3
C3_SS_BEA_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV B,,030PNX10H5000027,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-29,,03030PNX00,,4bfa7e59-ac06-11ea-9e76-24a52ca945ea,"NE=3145772,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.บางเลน,#N/A,C3
C1_SS_OKA_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV B,,030PNX10H5000024,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa7e5a-ac06-11ea-9e76-24a52ca945ea,"NE=3145760,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.องครักษ์,#N/A,C1
C1_SS_NSI_NE40,NE40E-X3(V8),CR57L4XFB2 2/0,,LAN_WAN_4x10GF_B_CARD,1,2,0,CR57L4XFB REV A,,030PNX10H1000031,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-01-22,,03030PNX00,,4bfa7e5d-ac06-11ea-9e76-24a52ca945ea,"NE=3145770,FR=1,S=2,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.นนทรี,#N/A,C1
C1_SS_WYA_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e5e-ac06-11ea-9e76-24a52ca945ea,"NE=3145763,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.วังน้ำเย็น,#N/A,C1
C2_SS_CTA_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bfa7e60-ac06-11ea-9e76-24a52ca945ea,"NE=3145935,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.จันทบุรี,#N/A,C2
C2_SS_BBA_NE40,NE40E-X3(V8),CFCARD 5/0,,CFCARD,1,5,2,,,,Normal,,CFCARD 5/0,,,,,,,4bfa7e62-ac06-11ea-9e76-24a52ca945ea,"NE=3145771,FR=1,S=5,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.บ้านบึง 1,#N/A,C2
C2_SS_CTA_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV B,,030PNX10H5000023,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-10,,03030PNX00,,4bfa7e64-ac06-11ea-9e76-24a52ca945ea,"NE=3145935,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.จันทบุรี,#N/A,C2
C2_SS_KAA_NE40,NE40E-X3(V8),CR57L4XFB2 3/0,,LAN_WAN_4x10GF_B_CARD,1,3,0,CR57L4XFB REV B,,030PNX10H5000029,Normal,,4-Port 10GBase LAN/WAN-SFP+ Fixed Card A,,03030PNX,2017-05-29,,03030PNX00,,4bfa7e66-ac06-11ea-9e76-24a52ca945ea,"NE=3145766,FR=1,S=3,CP=-1,SS=0,SC=-1",,#N/A,#N/A,สฟฟ.แกลง 1,#N/A,C2
C2_SS_KAA_NE40,NE40E-X3(V8),CFCARD 4/0,,CFCARD,1,4,2,,,,Normal,,CFCARD 4/0,,,,,,,4bfa7e67-ac06-11ea-9e76-24a52ca945ea,"NE=3145766,FR=1,S=4,CP=-1,SS=2,SC=-1",,#N/A,#N/A,สฟฟ.แกลง 1,#N/A,C2
C1_SS_BDA_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000182,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,fbabdc90-b7d6-11ea-a230-ac8d34d0c492,"NE=3145744,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,สฟฟ.บางกระดี,Not Match,C1
C1_SS_BDA_NE08_1,NE08E-S6,NED2EX1S 0/5,,NEDD000EX1S0,1,7,5,NED2EX1S REV D,--,210305645210H6000174,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,fbabdc91-b7d6-11ea-a230-ac8d34d0c492,"NE=3145744,FR=1,S=7,CP=-1,SS=5,SC=-1",,0,Ph#1,สฟฟ.บางกระดี,Not Match,C1
C1_SS_BDA_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000048,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,fbabdc92-b7d6-11ea-a230-ac8d34d0c492,"NE=3145744,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,สฟฟ.บางกระดี,Not Match,C1
C1_EO_SEN_NE08_1,NE08E-S6,NED2EM8T 0/6,,NEDD00EM8T01,1,7,6,NED2EM8T REV C,--,210305645810H6000143,Normal,,"NE08E-S6,NED2EM8T0,8 Channels GE/FE Electrical Interface Board",,03056458,2017-06-20,,0305645800,,001eee98-b7d7-11ea-a230-ac8d34d0c492,"NE=3145751,FR=1,S=7,CP=-1,SS=6,SC=-1",,0,Ph#1,กฟอ.เสนา,Not Match,C1
C1_EO_SEN_NE08_1,NE08E-S6,NED3ML1A 0/4,,NEDD16E17502,1,7,4,NED3ML1A REV C,--,210305646110H6000037,Normal,,"NE08E-S6,NED3ML1A0,16 Channels E1 Interface Board(75ohm)",,03056461,2017-06-20,,0305646100,,001eee99-b7d7-11ea-a230-ac8d34d0c492,"NE=3145751,FR=1,S=7,CP=-1,SS=4,SC=-1",,0,Ph#1,กฟอ.เสนา,Not Match,C1
C1_EO_SEN_NE08_1,NE08E-S6,NED2EX2S 0/1,,NEDD000EX2S0,1,7,1,NED2EX2S REV D,--,210305645310H6000099,Normal,,"NE08E-S6,NED2EX2S0,2 Channels 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056453,2017-06-20,,0305645300,,001eee9a-b7d7-11ea-a230-ac8d34d0c492,"NE=3145751,FR=1,S=7,CP=-1,SS=1,SC=-1",,0,Ph#1,กฟอ.เสนา,Not Match,C1
C1_EO_SEN_NE08_1,NE08E-S6,NED2EX1S 0/3,,NEDD000EX1S0,1,7,3,NED2EX1S REV D,--,210305645210H6000435,Normal,,"NE08E-S6,NED2EX1S0,1 Channel 10GE Base LAN/WAN SFP+ Optical Interface Board",,03056452,2017-06-20,,0305645200,,001eee9b-b7d7-11ea-a230-ac8d34d0c492,"NE=3145751,FR=1,S=7,CP=-1,SS=3,SC=-1",,0,Ph#1,กฟอ.เสนา,Not Match,C1
