Frame Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
Save Time: 2025-05-15 12:21:40 User Name: tempuno,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total records: 653,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE Name,Subrack Name,Subrack Type,NE ID,NE IP Address,Software Version,SN(Bar Code),Subnet,Subnet Path,Subrack ID,Subrack Status,Subrack Alias,PN(BOM Code),Description,Manufactured On,Equipment Room Name,Rack Name,Subrack Number,Remarks,Custom Label,resId,nativeId,,Masterplan Assigned,Boq. Ph.,Actual Site name,Match,Region
C3_SS_KTA_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57284,10.10.0.51,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H5000024,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-05-11,,,,,,4bf46379-ac06-11ea-9e76-24a52ca945ea,"NE=3145775,FR=1",,0,Ph#1,สฟฟ.กระทุ่มแบน 1,Not Match,C3
C2_EO_BLM_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57307,10.10.0.48,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H5000032,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-05-11,,,,,,4bf4637a-ac06-11ea-9e76-24a52ca945ea,"NE=3145933,FR=1",,0,Ph#1,กฟภ.เมืองพัทยา,Not Match,C2
C2_SS_BBA_NE40,NE40E-X3 frame,fname8090NE40E3DC,79-57187,10.10.0.43,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102351596P0H6000002,ROOT,ROOT,1,Normal,,02351596,"NetEngine40E-X3,CR5Z1BKPE,Integrated DC Chassis Components(NE40E-X3)-4U",2017-06-03,,,,,,4bf4637f-ac06-11ea-9e76-24a52ca945ea,"NE=3145771,FR=1",,0,Ph#1,สฟฟ.บ้านบึง 1,Not Match,C2
C3_SS_TMK_NE08_1,NE08E frame,NE08E Frame,,10.10.54.2,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900159,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01d119-ac06-11ea-9e76-24a52ca945ea,"NE=3145777,FR=1",,0,Ph#1,สฟฟ.ท่ามะกา,Not Match,C3
New_C2_SS_PYN_NE8K_1,NetEngine 8000 M6 frame,NETENGINE-8000-M6-DC,219-36187,10.10.52.140,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102353HHE10L6000113,ROOT,ROOT,1,Normal,,02353HHE,"Assembling Components,NetEngine 8000,CR8BM6BKPDC1,NetEngine 8000 M6 Integrated DC Chassis Components(Including 2*DC Power,Fan Box)",2020-06-15,,,,,,4c01d11a-ac06-11ea-9e76-24a52ca945ea,"NE=3145932,FR=1",,สฟฟ.พัทยาเหนือ ตัวที่ 2,Ph#4,สฟฟ.พัทยาเหนือ ตัวที่ 2,Match,C2
C3_EO_SAP_NE08_1,NE08E frame,NE08E Frame,,10.10.54.131,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900261,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01d11b-ac06-11ea-9e76-24a52ca945ea,"NE=3145901,FR=1",,0,Ph#1,กฟอ.สามพราน,Not Match,C3
C1_EO_LLO_NE08_1,NE08E frame,NE08E Frame,,10.10.50.17,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900073,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01d11c-ac06-11ea-9e76-24a52ca945ea,"NE=3145746,FR=1",,0,Ph#1,กฟอ.ลาดหลุมแก้ว,Not Match,C1
C2_SS_NYM_NE08_1,NE08E frame,NE08E Frame,,10.10.52.193,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900077,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01d11d-ac06-11ea-9e76-24a52ca945ea,"NE=3145893,FR=1",,0,Ph#1,สฟฟ.นายายอาม,Not Match,C2
C3_SS_UTO_NE08_1,NE08E frame,NE08E Frame,,10.10.54.5,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900034,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01d11e-ac06-11ea-9e76-24a52ca945ea,"NE=3145780,FR=1",,0,Ph#1,สฟฟ.อู่ทอง,Not Match,C3
C2_ADDC_EO_CBR_NE8K_2,NetEngine 8000 M6 frame,NETENGINE-8000-M6-DC,124-63100,10.10.52.64,"VRP (R) software, Version 8.220(CN), RELEASE 0001",2102353HHE10Q9100013,ROOT,ROOT,1,Normal,NA,02353HHE,"Assembling Components,NetEngine 8000,CR8BM6BKPDC1,NetEngine 8000 M6 Integrated DC Chassis Components(Including 2*DC Power,Fan Box)",2024-09-13,,,,,,4c01d11f-ac06-11ea-9e76-24a52ca945ea,"NE=3145862,FR=1",,ศจฟ.กฟก.2 (ชลบุรี),Ph#8,ศจฟ.กฟก.2,Not Match,C2
C2_SS_CHT_NE8K_1,NetEngine 8000 M6 frame,NETENGINE-8000-M6-DC,75-55817,10.10.52.137,"VRP (R) software, Version 8.220(CN), RELEASE 0001",2102353HHE10P5100059,ROOT,ROOT,1,Normal,NA,02353HHE,"Assembling Components,NetEngine 8000,CR8BM6BKPDC1,NetEngine 8000 M6 Integrated DC Chassis Components(Including 2*DC Power,Fan Box)",2023-05-25,,,,,,4c01d120-ac06-11ea-9e76-24a52ca945ea,"NE=3145929,FR=1",,สฟฟ.จอมเทียน,Ph#7,สฟฟ.จอมเทียน,Match,C2
C1_SS_SNA_NE08_2,NE08E frame,NE08E Frame,,10.10.50.129,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900074,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01d122-ac06-11ea-9e76-24a52ca945ea,"NE=3145831,FR=1",,0,Ph#1,สฟฟ.เสนา,Not Match,C1
C2_SS_BBA_NE8K_1,NetEngine 8000 M6 frame,NETENGINE-8000-M6-DC,34-60552,10.10.52.1,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102353HHE10N6100011,ROOT,ROOT,1,Normal,NA,02353HHE,"Assembling Components,NetEngine 8000,CR8BM6BKPDC1,NetEngine 8000 M6 Integrated DC Chassis Components(Including 2*DC Power,Fan Box)",2022-06-19,,,,,,4c01d124-ac06-11ea-9e76-24a52ca945ea,"NE=3145850,FR=1",,สฟฟ.บ้านบึง 1,Ph#6,สฟฟ.บ้านบึง 1,Match,C2
C2_EO_BOT_NE08_1,NE08E frame,NE08E Frame,,10.10.52.13,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900096,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01d125-ac06-11ea-9e76-24a52ca945ea,"NE=3145859,FR=1",,0,Ph#1,กฟย.บ่อทอง,Not Match,C2
C2_SS_BWN_NE08_1,NE08E frame,NE08E Frame,,10.10.52.83,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900158,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01d126-ac06-11ea-9e76-24a52ca945ea,"NE=3145881,FR=1",,0,Ph#1,สฟฟ.บ่อวิน 2,Not Match,C2
C1_EO_WTN_NE08_1,NE08E frame,NE08E Frame,,10.10.51.72,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900060,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01d128-ac06-11ea-9e76-24a52ca945ea,"NE=3145845,FR=1",,0,Ph#1,กฟอ.วัฒนานคร,Not Match,C1
C3_SS_OYK_NE8K_1,NetEngine 8000 M6 frame,NETENGINE-8000-M6-DC,34-60569,10.10.54.133,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102353HHE10N6100010,ROOT,ROOT,1,Normal,NA,02353HHE,"Assembling Components,NetEngine 8000,CR8BM6BKPDC1,NetEngine 8000 M6 Integrated DC Chassis Components(Including 2*DC Power,Fan Box)",2022-06-19,,,,,,4c01d129-ac06-11ea-9e76-24a52ca945ea,"NE=3145903,FR=1",,สฟฟ.อ้อมใหญ่ 2,Ph#6,สฟฟ.อ้อมใหญ่ 2,Match,C3
